SCORE;CVE;CWE;FIRST_INTRODUCED;PROJECT_NAME;PROJECT_URL;PRODUCT_NAME;ORG_DISPLAY_NAME;ISSUE_SEVERITY;EXPLOIT_MATURITY;COMPUTED_FIXABILITY;ISSUE_URL;ISSUE_TYPE
103;"[""CVE-2007-5686""]";"[""CWE-264""]";2024-10-25 17:14:34.017;iuriikogan-snyk/nodejs-goof:linux-arm64;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a;Snyk Container;CBIR - TechOps;Low;No Known Exploit;No Fix Supported;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a#issue-SNYK-DEBIAN12-SHADOW-1559391;Vulnerability
125;"[""CVE-2019-9192""]";"[""CWE-674""]";2024-10-25 17:14:34.017;iuriikogan-snyk/nodejs-goof:linux-arm64;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a;Snyk Container;CBIR - TechOps;Low;No Known Exploit;No Fix Supported;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a#issue-SNYK-DEBIAN12-GLIBC-1547069;Vulnerability
72;"[""CVE-2024-37372""]";"[""CWE-229""]";2024-10-25 17:14:34.017;iuriikogan-snyk/nodejs-goof:linux-arm64;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a;Snyk Container;CBIR - TechOps;Low;No Known Exploit;No Fix Supported;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a#issue-SNYK-UPSTREAM-NODE-7430912;Vulnerability
181;"[""CVE-2023-45853""]";"[""CWE-190""]";2024-10-25 17:14:34.017;iuriikogan-snyk/nodejs-goof:linux-arm64;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a;Snyk Container;CBIR - TechOps;Critical;No Known Exploit;No Fix Supported;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a#issue-SNYK-DEBIAN12-ZLIB-6008963;Vulnerability
71;"[""CVE-2019-1010024""]";"[""CWE-200""]";2024-10-25 17:14:34.017;iuriikogan-snyk/nodejs-goof:linux-arm64;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a;Snyk Container;CBIR - TechOps;Low;No Known Exploit;No Fix Supported;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a#issue-SNYK-DEBIAN12-GLIBC-1546991;Vulnerability
53;"[""CVE-2023-31439""]";"[""CWE-354""]";2024-10-25 17:14:34.017;iuriikogan-snyk/nodejs-goof:linux-arm64;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a;Snyk Container;CBIR - TechOps;Low;No Known Exploit;No Fix Supported;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a#issue-SNYK-DEBIAN12-SYSTEMD-5733398;Vulnerability
49;"[""CVE-2013-4392""]";"[""CWE-59""]";2024-10-25 17:14:34.017;iuriikogan-snyk/nodejs-goof:linux-arm64;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a;Snyk Container;CBIR - TechOps;Low;No Known Exploit;No Fix Supported;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a#issue-SNYK-DEBIAN12-SYSTEMD-1560739;Vulnerability
82;"[""CVE-2022-27943""]";"[""CWE-674""]";2024-10-25 17:14:34.017;iuriikogan-snyk/nodejs-goof:linux-arm64;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a;Snyk Container;CBIR - TechOps;Low;No Known Exploit;No Fix Supported;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a#issue-SNYK-DEBIAN12-GCC12-2606941;Vulnerability
64;"[""CVE-2025-4598""]";"[""CWE-364""]";2025-05-30 11:06:10.025;iuriikogan-snyk/nodejs-goof:linux-arm64;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a;Snyk Container;CBIR - TechOps;Medium;No Known Exploit;No Fix Supported;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a#issue-SNYK-DEBIAN12-SYSTEMD-10264074;Vulnerability
71;"[""CVE-2024-22365""]";[];2024-10-25 17:14:34.017;iuriikogan-snyk/nodejs-goof:linux-arm64;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a;Snyk Container;CBIR - TechOps;Low;No Known Exploit;No Fix Supported;https://app.snyk.io/org/cbir-techops/project/556f84a6-0075-41cf-a7a1-a76d87a99b9a#issue-SNYK-DEBIAN12-PAM-6178914;Vulnerability
